,Result,Confidance of being Cracked
6163,Negative (Not Crack),0.148955
6164,Negative (Not Crack),0.067044
6165,Negative (Not Crack),0.408596
6166,Negative (Not Crack),0.031927
6167,Negative (Not Crack),0.066766
6168,Negative (Not Crack),0.071408
6169,Negative (Not Crack),0.073039
6170,Negative (Not Crack),0.105906
6171,Negative (Not Crack),0.03941
6172,Negative (Not Crack),0.045652
6173,Negative (Not Crack),0.080158
6174,Negative (Not Crack),0.061188
6175,Negative (Not Crack),0.080797
6176,Negative (Not Crack),0.053925
6177,Negative (Not Crack),0.061291
6178,Negative (Not Crack),0.082191
6179,Negative (Not Crack),0.042982
6180,Negative (Not Crack),0.03929
6181,Negative (Not Crack),0.086078
6182,Negative (Not Crack),0.063137
6183,Negative (Not Crack),0.053141
6184,Positive(Crack) ,0.578937
6185,Negative (Not Crack),0.038417
6186,Negative (Not Crack),0.087435
6187,Negative (Not Crack),0.116403
6188,Negative (Not Crack),0.044714
6189,Negative (Not Crack),0.098539
6190,Negative (Not Crack),0.058501
6191,Negative (Not Crack),0.047661
6192,Negative (Not Crack),0.092689
6193,Negative (Not Crack),0.058872
6194,Negative (Not Crack),0.061008
6195,Negative (Not Crack),0.107686
6196,Negative (Not Crack),0.040127
6197,Negative (Not Crack),0.065188
6198,Negative (Not Crack),0.052921
6199,Negative (Not Crack),0.049906
6200,Negative (Not Crack),0.031465
6201,Negative (Not Crack),0.046311
6202,Negative (Not Crack),0.054126
6203,Negative (Not Crack),0.245802
6204,Negative (Not Crack),0.035248
6205,Negative (Not Crack),0.069785
6206,Negative (Not Crack),0.04132
6207,Negative (Not Crack),0.033374
6208,Negative (Not Crack),0.059048
6209,Negative (Not Crack),0.107683
6210,Negative (Not Crack),0.132007
6211,Negative (Not Crack),0.048101
6212,Negative (Not Crack),0.048907
6213,Negative (Not Crack),0.035008
6214,Negative (Not Crack),0.062986
6215,Negative (Not Crack),0.030509
6216,Negative (Not Crack),0.051468
6217,Negative (Not Crack),0.036585
6218,Negative (Not Crack),0.08424
6219,Negative (Not Crack),0.047767
6220,Negative (Not Crack),0.03876
6221,Negative (Not Crack),0.086642
6222,Negative (Not Crack),0.039368
6223,Negative (Not Crack),0.043124
6224,Negative (Not Crack),0.045992
6225,Negative (Not Crack),0.03225
6226,Negative (Not Crack),0.035419
6227,Negative (Not Crack),0.03139
6228,Negative (Not Crack),0.038096
6229,Negative (Not Crack),0.035153
6230,Negative (Not Crack),0.055786
6231,Negative (Not Crack),0.044432
6232,Negative (Not Crack),0.047837
6233,Negative (Not Crack),0.028806
6234,Negative (Not Crack),0.128539
6235,Negative (Not Crack),0.083836
6236,Negative (Not Crack),0.062634
6237,Negative (Not Crack),0.041443
6238,Negative (Not Crack),0.065099
6239,Negative (Not Crack),0.029234
6240,Negative (Not Crack),0.033199
6241,Negative (Not Crack),0.035085
6242,Negative (Not Crack),0.041131
6243,Negative (Not Crack),0.040754
6244,Negative (Not Crack),0.046632
6245,Negative (Not Crack),0.047999
6246,Negative (Not Crack),0.034944
6247,Negative (Not Crack),0.041052
6248,Negative (Not Crack),0.11903
6249,Negative (Not Crack),0.060658
6250,Negative (Not Crack),0.231692
6251,Negative (Not Crack),0.033037
6252,Negative (Not Crack),0.064459
6253,Negative (Not Crack),0.036913
6254,Positive(Crack) ,0.999885
6255,Negative (Not Crack),0.033234
6256,Negative (Not Crack),0.044658
6257,Negative (Not Crack),0.047029
6258,Negative (Not Crack),0.049313
6259,Negative (Not Crack),0.035255
6260,Negative (Not Crack),0.03234
6261,Negative (Not Crack),0.035012
6262,Negative (Not Crack),0.05674
6263,Negative (Not Crack),0.058219
6264,Negative (Not Crack),0.038854
6265,Negative (Not Crack),0.059487
6266,Negative (Not Crack),0.029079
6267,Negative (Not Crack),0.071543
6268,Negative (Not Crack),0.044287
6269,Negative (Not Crack),0.061445
6270,Negative (Not Crack),0.059795
6271,Negative (Not Crack),0.047821
6272,Negative (Not Crack),0.033484
6273,Negative (Not Crack),0.06672
6274,Negative (Not Crack),0.035789
6275,Negative (Not Crack),0.032486
6276,Negative (Not Crack),0.032265
6277,Negative (Not Crack),0.032585
6278,Negative (Not Crack),0.168767
6279,Negative (Not Crack),0.058554
6280,Negative (Not Crack),0.092651
6281,Negative (Not Crack),0.083493
6282,Negative (Not Crack),0.112158
6283,Negative (Not Crack),0.040272
6284,Negative (Not Crack),0.02677
6285,Negative (Not Crack),0.054507
6286,Negative (Not Crack),0.044388
6287,Negative (Not Crack),0.034575
6288,Negative (Not Crack),0.026216
6289,Negative (Not Crack),0.050595
6290,Negative (Not Crack),0.047688
6291,Negative (Not Crack),0.049936
6292,Negative (Not Crack),0.031489
6293,Negative (Not Crack),0.046397
6294,Negative (Not Crack),0.037067
6295,Negative (Not Crack),0.114174
6296,Negative (Not Crack),0.095656
6297,Negative (Not Crack),0.029202
6298,Negative (Not Crack),0.051213
6299,Negative (Not Crack),0.063263
6300,Negative (Not Crack),0.038135
6301,Negative (Not Crack),0.032636
6302,Negative (Not Crack),0.028607
6303,Negative (Not Crack),0.095403
6304,Negative (Not Crack),0.041617
6305,Negative (Not Crack),0.042229
6306,Negative (Not Crack),0.128153
6307,Negative (Not Crack),0.044177
6308,Negative (Not Crack),0.036848
6309,Negative (Not Crack),0.045096
6310,Negative (Not Crack),0.053352
6311,Negative (Not Crack),0.051267
6312,Negative (Not Crack),0.070917
6313,Negative (Not Crack),0.067992
6314,Negative (Not Crack),0.03938
6315,Negative (Not Crack),0.042442
6316,Negative (Not Crack),0.031451
6317,Negative (Not Crack),0.046434
6318,Negative (Not Crack),0.064801
6319,Negative (Not Crack),0.299742
6320,Negative (Not Crack),0.074677
6321,Negative (Not Crack),0.050033
6322,Negative (Not Crack),0.050186
6323,Negative (Not Crack),0.113568
6324,Negative (Not Crack),0.148419
6325,Negative (Not Crack),0.057582
6326,Negative (Not Crack),0.047998
6327,Negative (Not Crack),0.045676
6328,Negative (Not Crack),0.061139
6329,Negative (Not Crack),0.03746
6330,Negative (Not Crack),0.053887
6331,Negative (Not Crack),0.042305
6332,Negative (Not Crack),0.033068
6333,Negative (Not Crack),0.111663
6334,Negative (Not Crack),0.087026
6335,Negative (Not Crack),0.0338
6336,Negative (Not Crack),0.04658
6337,Negative (Not Crack),0.040384
6338,Negative (Not Crack),0.050226
6339,Negative (Not Crack),0.057224
6340,Negative (Not Crack),0.078558
6341,Negative (Not Crack),0.120969
6342,Negative (Not Crack),0.096132
6343,Negative (Not Crack),0.0742
6344,Negative (Not Crack),0.042754
6345,Negative (Not Crack),0.047233
6346,Negative (Not Crack),0.093423
6347,Negative (Not Crack),0.091834
6348,Negative (Not Crack),0.047816
6349,Negative (Not Crack),0.033762
6350,Negative (Not Crack),0.033086
6351,Negative (Not Crack),0.058454
6352,Negative (Not Crack),0.03955
6353,Negative (Not Crack),0.057086
6354,Negative (Not Crack),0.054069
6355,Negative (Not Crack),0.042362
6356,Negative (Not Crack),0.050424
6357,Negative (Not Crack),0.032493
6358,Negative (Not Crack),0.118408
6359,Negative (Not Crack),0.128105
6360,Negative (Not Crack),0.047838
6361,Negative (Not Crack),0.026677
6362,Negative (Not Crack),0.049147
6363,Negative (Not Crack),0.045938
6364,Negative (Not Crack),0.14324
6365,Negative (Not Crack),0.038261
6366,Negative (Not Crack),0.101057
6367,Negative (Not Crack),0.047173
6368,Negative (Not Crack),0.029574
6369,Negative (Not Crack),0.058978
6370,Negative (Not Crack),0.047034
6371,Negative (Not Crack),0.053836
6372,Negative (Not Crack),0.052014
6373,Negative (Not Crack),0.065966
6374,Negative (Not Crack),0.040057
6375,Negative (Not Crack),0.095416
6376,Negative (Not Crack),0.05063
6377,Negative (Not Crack),0.065112
6378,Negative (Not Crack),0.026899
6379,Negative (Not Crack),0.087383
6380,Negative (Not Crack),0.081132
6381,Negative (Not Crack),0.038375
6382,Negative (Not Crack),0.051393
6383,Negative (Not Crack),0.036443
6384,Negative (Not Crack),0.030371
6385,Negative (Not Crack),0.048041
6386,Negative (Not Crack),0.115879
6387,Negative (Not Crack),0.052177
6388,Negative (Not Crack),0.030432
6389,Negative (Not Crack),0.046727
6390,Negative (Not Crack),0.051981
6391,Negative (Not Crack),0.028408
6392,Negative (Not Crack),0.048904
6393,Negative (Not Crack),0.059089
6394,Negative (Not Crack),0.091893
6395,Negative (Not Crack),0.06154
6396,Negative (Not Crack),0.050528
6397,Negative (Not Crack),0.042656
6398,Negative (Not Crack),0.039273
6399,Negative (Not Crack),0.074324
6400,Negative (Not Crack),0.036255
6401,Negative (Not Crack),0.042007
6402,Negative (Not Crack),0.048748
6403,Negative (Not Crack),0.128701
6404,Negative (Not Crack),0.036319
6405,Negative (Not Crack),0.053659
6406,Negative (Not Crack),0.055732
6407,Negative (Not Crack),0.134434
6408,Negative (Not Crack),0.036178
6409,Negative (Not Crack),0.033148
6410,Negative (Not Crack),0.03122
6411,Negative (Not Crack),0.051676
6412,Negative (Not Crack),0.044797
6413,Negative (Not Crack),0.036296
6414,Negative (Not Crack),0.047189
6415,Negative (Not Crack),0.046348
6416,Negative (Not Crack),0.038949
6417,Negative (Not Crack),0.05676
6418,Negative (Not Crack),0.047034
6419,Negative (Not Crack),0.044287
6420,Negative (Not Crack),0.060573
6421,Negative (Not Crack),0.040956
6422,Negative (Not Crack),0.050944
6423,Negative (Not Crack),0.186271
6424,Negative (Not Crack),0.052886
6425,Negative (Not Crack),0.050117
6426,Negative (Not Crack),0.085137
6427,Negative (Not Crack),0.033036
6428,Negative (Not Crack),0.21996
6429,Negative (Not Crack),0.03738
6430,Negative (Not Crack),0.057412
6431,Negative (Not Crack),0.095607
6432,Negative (Not Crack),0.067096
6433,Negative (Not Crack),0.098765
6434,Negative (Not Crack),0.069861
6435,Negative (Not Crack),0.036166
6436,Negative (Not Crack),0.050319
6437,Negative (Not Crack),0.192469
6438,Negative (Not Crack),0.04939
6439,Negative (Not Crack),0.10781
6440,Negative (Not Crack),0.044792
6441,Negative (Not Crack),0.091527
6442,Positive(Crack) ,0.506072
6443,Negative (Not Crack),0.049971
6444,Negative (Not Crack),0.030071
6445,Negative (Not Crack),0.049337
6446,Negative (Not Crack),0.049298
6447,Negative (Not Crack),0.098308
6448,Negative (Not Crack),0.048082
6449,Negative (Not Crack),0.037075
6450,Positive(Crack) ,0.851491
6451,Negative (Not Crack),0.038755
6452,Negative (Not Crack),0.047071
6453,Negative (Not Crack),0.126636
6454,Negative (Not Crack),0.056543
6455,Negative (Not Crack),0.039837
6456,Negative (Not Crack),0.044374
6457,Negative (Not Crack),0.058542
6458,Negative (Not Crack),0.055073
6459,Negative (Not Crack),0.032237
6460,Negative (Not Crack),0.039337
6461,Negative (Not Crack),0.037215
6462,Negative (Not Crack),0.047288
6463,Negative (Not Crack),0.071659
6464,Negative (Not Crack),0.043669
6465,Negative (Not Crack),0.06659
6466,Negative (Not Crack),0.075032
6467,Negative (Not Crack),0.095384
6468,Negative (Not Crack),0.030564
6469,Negative (Not Crack),0.030937
6470,Negative (Not Crack),0.073849
6471,Negative (Not Crack),0.03634
6472,Negative (Not Crack),0.068158
6473,Negative (Not Crack),0.11254
6474,Negative (Not Crack),0.047225
6475,Negative (Not Crack),0.036889
6476,Negative (Not Crack),0.058628
6477,Negative (Not Crack),0.027257
6478,Negative (Not Crack),0.032725
6479,Negative (Not Crack),0.106618
6480,Negative (Not Crack),0.054467
6481,Negative (Not Crack),0.111352
6482,Negative (Not Crack),0.10482
6483,Negative (Not Crack),0.057943
6484,Negative (Not Crack),0.041329
6485,Negative (Not Crack),0.049675
6486,Negative (Not Crack),0.123723
6487,Negative (Not Crack),0.081865
6488,Negative (Not Crack),0.035919
6489,Negative (Not Crack),0.066347
6490,Negative (Not Crack),0.077911
6491,Negative (Not Crack),0.13937
6492,Negative (Not Crack),0.045899
6493,Negative (Not Crack),0.111174
6494,Negative (Not Crack),0.039463
6495,Negative (Not Crack),0.055183
6496,Negative (Not Crack),0.089041
6497,Negative (Not Crack),0.037594
6498,Negative (Not Crack),0.056913
6499,Negative (Not Crack),0.046578
6500,Negative (Not Crack),0.034346
6501,Negative (Not Crack),0.047668
6502,Negative (Not Crack),0.06376
6503,Negative (Not Crack),0.052144
6504,Negative (Not Crack),0.106489
6505,Negative (Not Crack),0.432996
6506,Negative (Not Crack),0.055423
6507,Positive(Crack) ,0.962161
6508,Negative (Not Crack),0.037388
6509,Negative (Not Crack),0.033242
6510,Negative (Not Crack),0.063739
6511,Negative (Not Crack),0.087274
6512,Negative (Not Crack),0.037192
6513,Negative (Not Crack),0.050029
6514,Negative (Not Crack),0.073775
6515,Negative (Not Crack),0.109291
6516,Negative (Not Crack),0.062176
6517,Negative (Not Crack),0.056456
6518,Negative (Not Crack),0.080511
6519,Negative (Not Crack),0.077135
6520,Negative (Not Crack),0.043518
6521,Negative (Not Crack),0.10023
6522,Negative (Not Crack),0.057146
6523,Negative (Not Crack),0.045329
6524,Negative (Not Crack),0.077117
6525,Negative (Not Crack),0.128491
6526,Negative (Not Crack),0.047927
6527,Negative (Not Crack),0.056963
6528,Negative (Not Crack),0.052431
6529,Negative (Not Crack),0.068729
6530,Negative (Not Crack),0.02893
6531,Negative (Not Crack),0.051651
6532,Negative (Not Crack),0.057419
6533,Negative (Not Crack),0.062367
6534,Negative (Not Crack),0.046198
6535,Negative (Not Crack),0.067224
6536,Negative (Not Crack),0.049498
6537,Positive(Crack) ,1
6538,Negative (Not Crack),0.05463
6539,Negative (Not Crack),0.032053
6540,Negative (Not Crack),0.050518
6541,Negative (Not Crack),0.052523
6542,Negative (Not Crack),0.053874
6543,Negative (Not Crack),0.038665
6544,Negative (Not Crack),0.071985
6545,Negative (Not Crack),0.051273
6546,Negative (Not Crack),0.026749
6547,Negative (Not Crack),0.13219
6548,Negative (Not Crack),0.031101
6549,Negative (Not Crack),0.061877
6550,Negative (Not Crack),0.046725
6551,Negative (Not Crack),0.025903
6552,Negative (Not Crack),0.061315
6553,Negative (Not Crack),0.039907
6554,Negative (Not Crack),0.045865
6555,Negative (Not Crack),0.031698
6556,Negative (Not Crack),0.043111
6557,Negative (Not Crack),0.064615
6558,Negative (Not Crack),0.354358
6559,Negative (Not Crack),0.03309
6560,Negative (Not Crack),0.065763
6561,Negative (Not Crack),0.044232
6562,Negative (Not Crack),0.035093
6563,Negative (Not Crack),0.06293
6564,Negative (Not Crack),0.048855
6565,Negative (Not Crack),0.0594
6566,Negative (Not Crack),0.042226
6567,Negative (Not Crack),0.050596
6568,Negative (Not Crack),0.048299
6569,Negative (Not Crack),0.061659
6570,Negative (Not Crack),0.053027
6571,Negative (Not Crack),0.149959
6572,Negative (Not Crack),0.037383
6573,Negative (Not Crack),0.037302
6574,Negative (Not Crack),0.048469
6575,Negative (Not Crack),0.047743
6576,Negative (Not Crack),0.051244
6577,Negative (Not Crack),0.05476
6578,Negative (Not Crack),0.054828
6579,Negative (Not Crack),0.025176
6580,Negative (Not Crack),0.030812
6581,Negative (Not Crack),0.042891
6582,Negative (Not Crack),0.055619
6583,Negative (Not Crack),0.051135
6584,Negative (Not Crack),0.079718
6585,Negative (Not Crack),0.060107
6586,Negative (Not Crack),0.041522
6587,Negative (Not Crack),0.059026
6588,Negative (Not Crack),0.050875
6589,Negative (Not Crack),0.059628
6590,Negative (Not Crack),0.058494
6591,Negative (Not Crack),0.060651
6592,Negative (Not Crack),0.071422
6593,Negative (Not Crack),0.041378
6594,Negative (Not Crack),0.0614
6595,Negative (Not Crack),0.096495
6596,Negative (Not Crack),0.058094
6597,Negative (Not Crack),0.047416
6598,Negative (Not Crack),0.053313
6599,Negative (Not Crack),0.042019
6600,Negative (Not Crack),0.079969
6601,Negative (Not Crack),0.062501
6602,Negative (Not Crack),0.039731
6603,Negative (Not Crack),0.073363
6604,Negative (Not Crack),0.050733
6605,Negative (Not Crack),0.061309
6606,Negative (Not Crack),0.065861
6607,Negative (Not Crack),0.045263
6608,Negative (Not Crack),0.061845
6609,Negative (Not Crack),0.067832
6610,Negative (Not Crack),0.076169
6611,Negative (Not Crack),0.045147
6612,Negative (Not Crack),0.069575
6613,Negative (Not Crack),0.040738
6614,Negative (Not Crack),0.045305
6615,Negative (Not Crack),0.046896
6616,Negative (Not Crack),0.04345
6617,Negative (Not Crack),0.044662
6618,Negative (Not Crack),0.03969
6619,Negative (Not Crack),0.061154
6620,Negative (Not Crack),0.034945
6621,Negative (Not Crack),0.041202
6622,Negative (Not Crack),0.051777
6623,Negative (Not Crack),0.220767
6624,Negative (Not Crack),0.053736
6625,Negative (Not Crack),0.049187
6626,Negative (Not Crack),0.03177
6627,Negative (Not Crack),0.055324
6628,Negative (Not Crack),0.039651
6629,Negative (Not Crack),0.038962
6630,Negative (Not Crack),0.031952
6631,Negative (Not Crack),0.062547
6632,Negative (Not Crack),0.043403
6633,Negative (Not Crack),0.072526
6634,Negative (Not Crack),0.136172
6635,Negative (Not Crack),0.049419
6636,Negative (Not Crack),0.051349
6637,Negative (Not Crack),0.051478
6638,Negative (Not Crack),0.040571
6639,Negative (Not Crack),0.054735
6640,Negative (Not Crack),0.067829
6641,Negative (Not Crack),0.054255
6642,Negative (Not Crack),0.048226
6643,Negative (Not Crack),0.175823
6644,Negative (Not Crack),0.042817
6645,Negative (Not Crack),0.093902
6646,Negative (Not Crack),0.032365
6647,Negative (Not Crack),0.072046
6648,Positive(Crack) ,0.992811
6649,Negative (Not Crack),0.051139
6650,Negative (Not Crack),0.039211
6651,Negative (Not Crack),0.046215
6652,Negative (Not Crack),0.21988
6653,Negative (Not Crack),0.039673
6654,Negative (Not Crack),0.063555
6655,Negative (Not Crack),0.041341
6656,Negative (Not Crack),0.151505
6657,Negative (Not Crack),0.042818
6658,Negative (Not Crack),0.029002
6659,Negative (Not Crack),0.042298
6660,Negative (Not Crack),0.044967
6661,Negative (Not Crack),0.04967
6662,Negative (Not Crack),0.053891
6663,Negative (Not Crack),0.083036
6664,Negative (Not Crack),0.27497
6665,Negative (Not Crack),0.068787
6666,Negative (Not Crack),0.045961
6667,Negative (Not Crack),0.082615
6668,Negative (Not Crack),0.047144
6669,Negative (Not Crack),0.044541
6670,Negative (Not Crack),0.051489
6671,Negative (Not Crack),0.057104
6672,Negative (Not Crack),0.06339
6673,Negative (Not Crack),0.107923
6674,Negative (Not Crack),0.050003
6675,Negative (Not Crack),0.065453
6676,Negative (Not Crack),0.04428
6677,Negative (Not Crack),0.04611
6678,Negative (Not Crack),0.049211
6679,Negative (Not Crack),0.135985
6680,Negative (Not Crack),0.053684
6681,Negative (Not Crack),0.03802
6682,Negative (Not Crack),0.043757
6683,Negative (Not Crack),0.127186
6684,Negative (Not Crack),0.026738
6685,Negative (Not Crack),0.046544
6686,Negative (Not Crack),0.068777
6687,Negative (Not Crack),0.034833
6688,Negative (Not Crack),0.041085
6689,Negative (Not Crack),0.03871
6690,Negative (Not Crack),0.042311
6691,Negative (Not Crack),0.046339
6692,Negative (Not Crack),0.030893
6693,Negative (Not Crack),0.039
6694,Negative (Not Crack),0.096741
6695,Negative (Not Crack),0.277828
6696,Negative (Not Crack),0.068613
6697,Negative (Not Crack),0.111356
6698,Negative (Not Crack),0.233693
6699,Negative (Not Crack),0.287554
6700,Negative (Not Crack),0.033884
6701,Negative (Not Crack),0.049032
6702,Negative (Not Crack),0.036433
6703,Negative (Not Crack),0.06194
6704,Negative (Not Crack),0.119385
6705,Negative (Not Crack),0.027635
6706,Negative (Not Crack),0.045442
6707,Negative (Not Crack),0.061137
6708,Negative (Not Crack),0.048618
6709,Negative (Not Crack),0.036197
6710,Negative (Not Crack),0.043956
6711,Negative (Not Crack),0.046336
6712,Negative (Not Crack),0.033105
6713,Negative (Not Crack),0.119614
6714,Negative (Not Crack),0.036794
6715,Negative (Not Crack),0.029885
6716,Negative (Not Crack),0.073014
6717,Negative (Not Crack),0.052482
6718,Negative (Not Crack),0.066307
6719,Negative (Not Crack),0.044439
6720,Negative (Not Crack),0.041711
6721,Negative (Not Crack),0.048862
6722,Negative (Not Crack),0.04505
6723,Positive(Crack) ,0.775639
6724,Negative (Not Crack),0.062482
6725,Negative (Not Crack),0.10596
6726,Negative (Not Crack),0.041241
6727,Negative (Not Crack),0.093774
6728,Negative (Not Crack),0.046472
6729,Negative (Not Crack),0.051209
6730,Negative (Not Crack),0.061288
6731,Negative (Not Crack),0.075724
6732,Negative (Not Crack),0.041163
6733,Negative (Not Crack),0.064856
6734,Negative (Not Crack),0.050278
6735,Negative (Not Crack),0.070414
6736,Negative (Not Crack),0.039768
6737,Negative (Not Crack),0.063989
6738,Negative (Not Crack),0.047506
6739,Negative (Not Crack),0.034924
6740,Negative (Not Crack),0.044417
6741,Negative (Not Crack),0.065526
6742,Negative (Not Crack),0.057001
6743,Negative (Not Crack),0.063954
6744,Negative (Not Crack),0.063
6745,Negative (Not Crack),0.033552
6746,Negative (Not Crack),0.164854
6747,Negative (Not Crack),0.045307
6748,Negative (Not Crack),0.061397
6749,Negative (Not Crack),0.046571
6750,Negative (Not Crack),0.080706
6751,Negative (Not Crack),0.039056
6752,Negative (Not Crack),0.028124
6753,Negative (Not Crack),0.106671
6754,Negative (Not Crack),0.113231
6755,Negative (Not Crack),0.031255
6756,Negative (Not Crack),0.090768
6757,Negative (Not Crack),0.046065
6758,Negative (Not Crack),0.034647
6759,Negative (Not Crack),0.037853
6760,Negative (Not Crack),0.154145
6761,Negative (Not Crack),0.043667
6762,Negative (Not Crack),0.174696
6763,Negative (Not Crack),0.088069
6764,Positive(Crack) ,0.678723
6765,Negative (Not Crack),0.041662
6766,Negative (Not Crack),0.086493
6767,Negative (Not Crack),0.04146
6768,Negative (Not Crack),0.078082
6769,Negative (Not Crack),0.063653
6770,Negative (Not Crack),0.162233
6771,Negative (Not Crack),0.089313
6772,Negative (Not Crack),0.047476
6773,Negative (Not Crack),0.040273
6774,Negative (Not Crack),0.03703
6775,Negative (Not Crack),0.033342
6776,Negative (Not Crack),0.045945
6777,Negative (Not Crack),0.059426
6778,Negative (Not Crack),0.03492
6779,Negative (Not Crack),0.202321
6780,Negative (Not Crack),0.048777
6781,Negative (Not Crack),0.060677
6782,Negative (Not Crack),0.07369
6783,Negative (Not Crack),0.049155
6784,Negative (Not Crack),0.064608
6785,Negative (Not Crack),0.033409
6786,Negative (Not Crack),0.036
6787,Negative (Not Crack),0.178707
6788,Negative (Not Crack),0.046683
6789,Negative (Not Crack),0.033973
6790,Negative (Not Crack),0.051898
6791,Negative (Not Crack),0.037337
6792,Negative (Not Crack),0.024927
6793,Negative (Not Crack),0.057618
6794,Negative (Not Crack),0.032098
6795,Negative (Not Crack),0.12261
6796,Negative (Not Crack),0.047608
6797,Negative (Not Crack),0.034307
6798,Negative (Not Crack),0.040399
6799,Negative (Not Crack),0.035078
6800,Negative (Not Crack),0.075419
6801,Negative (Not Crack),0.083042
6802,Negative (Not Crack),0.056472
6803,Negative (Not Crack),0.063767
6804,Negative (Not Crack),0.12074
6805,Negative (Not Crack),0.069784
6806,Negative (Not Crack),0.043843
6807,Negative (Not Crack),0.037142
6808,Negative (Not Crack),0.053754
6809,Negative (Not Crack),0.035522
6810,Negative (Not Crack),0.045044
6811,Negative (Not Crack),0.033095
6812,Negative (Not Crack),0.030132
6813,Negative (Not Crack),0.060694
6814,Negative (Not Crack),0.097844
6815,Negative (Not Crack),0.045869
6816,Negative (Not Crack),0.045911
6817,Negative (Not Crack),0.041185
6818,Negative (Not Crack),0.230121
6819,Negative (Not Crack),0.049004
6820,Negative (Not Crack),0.053006
6821,Negative (Not Crack),0.046118
6822,Negative (Not Crack),0.029195
6823,Negative (Not Crack),0.06462
6824,Negative (Not Crack),0.066107
6825,Negative (Not Crack),0.070978
6826,Negative (Not Crack),0.097374
6827,Negative (Not Crack),0.084312
6828,Negative (Not Crack),0.037706
6829,Negative (Not Crack),0.060733
6830,Negative (Not Crack),0.03124
6831,Negative (Not Crack),0.047904
6832,Negative (Not Crack),0.061131
6833,Negative (Not Crack),0.03781
6834,Negative (Not Crack),0.030678
6835,Negative (Not Crack),0.04312
6836,Negative (Not Crack),0.046
6837,Negative (Not Crack),0.042174
6838,Negative (Not Crack),0.043257
6839,Negative (Not Crack),0.054692
6840,Negative (Not Crack),0.031308
6841,Negative (Not Crack),0.088495
6842,Negative (Not Crack),0.065965
6843,Positive(Crack) ,0.643742
6844,Negative (Not Crack),0.029603
6845,Negative (Not Crack),0.037662
6846,Negative (Not Crack),0.187282
6847,Negative (Not Crack),0.135348
6848,Negative (Not Crack),0.124501
6849,Negative (Not Crack),0.041097
6850,Negative (Not Crack),0.049856
6851,Negative (Not Crack),0.050726
6852,Negative (Not Crack),0.039277
6853,Negative (Not Crack),0.083298
6854,Negative (Not Crack),0.074717
6855,Negative (Not Crack),0.03711
6856,Negative (Not Crack),0.067367
6857,Negative (Not Crack),0.039654
6858,Negative (Not Crack),0.052571
6859,Negative (Not Crack),0.064455
6860,Negative (Not Crack),0.046568
6861,Negative (Not Crack),0.158419
6862,Negative (Not Crack),0.131304
6863,Negative (Not Crack),0.146564
6864,Negative (Not Crack),0.123692
6865,Negative (Not Crack),0.053575
6866,Negative (Not Crack),0.056272
6867,Negative (Not Crack),0.064926
6868,Negative (Not Crack),0.091103
6869,Negative (Not Crack),0.0567
6870,Negative (Not Crack),0.042198
6871,Negative (Not Crack),0.078311
6872,Negative (Not Crack),0.041684
6873,Negative (Not Crack),0.0582
6874,Negative (Not Crack),0.043413
6875,Negative (Not Crack),0.061279
6876,Negative (Not Crack),0.029125
6877,Negative (Not Crack),0.046497
6878,Negative (Not Crack),0.03713
6879,Negative (Not Crack),0.058674
6880,Negative (Not Crack),0.076292
6881,Negative (Not Crack),0.049139
6882,Negative (Not Crack),0.029067
6883,Negative (Not Crack),0.049631
6884,Negative (Not Crack),0.039516
6885,Negative (Not Crack),0.043405
6886,Negative (Not Crack),0.042911
6887,Negative (Not Crack),0.05999
6888,Negative (Not Crack),0.06041
6889,Negative (Not Crack),0.044706
6890,Negative (Not Crack),0.072942
6891,Negative (Not Crack),0.104963
6892,Negative (Not Crack),0.054676
6893,Negative (Not Crack),0.038781
6894,Negative (Not Crack),0.025599
6895,Negative (Not Crack),0.046064
6896,Negative (Not Crack),0.245092
6897,Negative (Not Crack),0.048805
6898,Negative (Not Crack),0.040972
6899,Negative (Not Crack),0.03994
6900,Negative (Not Crack),0.084364
6901,Negative (Not Crack),0.04656
6902,Negative (Not Crack),0.076449
6903,Negative (Not Crack),0.030372
6904,Negative (Not Crack),0.399646
6905,Negative (Not Crack),0.03818
6906,Negative (Not Crack),0.048816
6907,Negative (Not Crack),0.027308
6908,Negative (Not Crack),0.044665
6909,Negative (Not Crack),0.038536
6910,Negative (Not Crack),0.150433
6911,Negative (Not Crack),0.037238
6912,Negative (Not Crack),0.038927
6913,Positive(Crack) ,0.873753
6914,Negative (Not Crack),0.14772
6915,Negative (Not Crack),0.123576
6916,Negative (Not Crack),0.474535
6917,Negative (Not Crack),0.031803
6918,Negative (Not Crack),0.042737
6919,Negative (Not Crack),0.051597
6920,Negative (Not Crack),0.257886
6921,Negative (Not Crack),0.050595
6922,Negative (Not Crack),0.114175
6923,Negative (Not Crack),0.044563
6924,Negative (Not Crack),0.068428
6925,Negative (Not Crack),0.047261
6926,Negative (Not Crack),0.072738
6927,Negative (Not Crack),0.051872
6928,Negative (Not Crack),0.035893
6929,Negative (Not Crack),0.033627
6930,Negative (Not Crack),0.043697
6931,Positive(Crack) ,0.502591
6932,Negative (Not Crack),0.037674
6933,Negative (Not Crack),0.187722
6934,Negative (Not Crack),0.042622
6935,Negative (Not Crack),0.246479
6936,Negative (Not Crack),0.050337
6937,Negative (Not Crack),0.042636
6938,Negative (Not Crack),0.076067
6939,Negative (Not Crack),0.03473
